Anaa Airport,AAA
Shishmaref Airport,SHH
Shimojishima Airport,SHI
Sharjah International Airport,SHJ
Sehonghong Airport,SHK
Shillong Airport,SHL
Nanki Shirahama Airport,SHM
Sanderson Field,SHN
King Mswati III International Airport,SHO
Sokcho (Mulchi Airfield) (G-407/K-50) Airport,SHO
Southport Airport,SHQ
Sheridan County Airport,SHR
Shashi Airport,SHS
Shepparton Airport,SHT
Smith Point Airport,SHU
Shreveport Regional Airport,SHV
Sharurah Airport,SHW
Shageluk Airport,SHX
Shinyanga Airport,SHY
Seshutes Airport,SHZ
Xi'an Xiguan Airport,SIA
Sibiti Airport,SIB
San JosÃ© Island Airport,SIC
AmÃ­lcar Cabral International Airport,SID
Sines Airport,SIE
Simara Airport,SIF
Fernando Luis Ribas Dominicci Airport,SIG
Silgadi Doti Airport,SIH
Sidi Ifni Xx Airport,SII
SiglufjÃ¶rÃ°ur Airport,SIJ
Sikeston Memorial Municipal Airport,SIK
Sila Airport,SIL
Simbai Airport,SIM
Singapore Changi Airport,SIN
Smithton Airport,SIO
Simferopol International Airport,SIP
Dabo Airport,SIQ
Sion Airport,SIR
Sishen Airport,SIS
Sitka Rocky Gutierrez Airport,SIT
Siuna,SIU
Sullivan County Airport,SIV
Sibisa Airport,SIW
Singleton Airport,SIX
Sissano Airport,SIZ
San Juan de Marcona Airport,SJA
San JoaquÃ­n Airport,SJB
Norman Y. Mineta San Jose International Airport,SJC
Los Cabos International Airport,SJD
Jorge E. Gonzalez Torres Airport,SJE
Cruz Bay Seaplane Base,SJF
San Juan Del CÃ©sar Airport,SJH
San Jose Airport,SJI
Sarajevo International Airport,SJJ
Professor Urbano Ernesto Stumpf Airport,SJK
SÃ£o Gabriel da Cachoeira Airport,SJL
San Juan Airport,SJM
St Johns Industrial Air Park,SJN
Juan Santamaria International Airport,SJO
Prof. Eribelto Manoel Reino State Airport,SJP
Sesheke Airport,SJQ
San Juan De Uraba Airport,SJR
San JosÃ© De Chiquitos Airport,SJS
San Angelo Regional Mathis Field,SJT
Luis Munoz Marin International Airport,SJU
San Javier Airport,SJV
Shijiazhuang Daguocun International Airport,SJW
Sartaneja Airport,SJX
SeinÃ¤joki Airport,SJY
SÃ£o Jorge Airport,SJZ
Fairchild Air Force Base,SKA
Robert L. Bradshaw International Airport,SKB
Suki Airport,SKC
Samarkand Airport,SKD
Skien Airport,SKE
Lackland Air Force Base,SKF
Thessaloniki Macedonia International Airport,SKG
Surkhet Airport,SKH
Skikda Airport,SKI
Sitkinak Airport,SKJ
Shaktoolik Airport,SKK
Skeldon Airport,SKM
Stokmarknes Skagen Airport,SKN
Sadiq Abubakar III International Airport,SKO
Skopje International Airport,SKP
Sekakes Airport,SKQ
Shakiso Airport,SKR
Skrydstrup Air Base,SKS
Sialkot Airport,SKT
Skiros Airport,SKU
St Catherine International Airport,SKV
Skwentna Airport,SKW
Saransk Airport,SKX
Griffing Sandusky Airport,SKY
Sukkur Airport,SKZ
Martin Miguel De Guemes International Airport,SLA
Storm Lake Municipal Airport,SLB
Salt Lake City International Airport,SLC
SliaÄ Airport,SLD
Salem Municipal Airport/McNary Field,SLE
Sulayel Airport,SLF
Smith Field,SLG
Sola Airport,SLH
Solwesi Airport,SLI
Solomon Airport,SLJ
Adirondack Regional Airport,SLK
Salalah Airport,SLL
Salamanca Airport,SLM
Salina Municipal Airport,SLN
Salem Leckrone Airport,SLO
Ponciano Arriaga International Airport,SLP
Sleetmute Airport,SLQ
Sulphur Springs Municipal Airport,SLR
Silistra Polkovnik Lambrinovo Air Base,SLS
Salida Airport Harriett Alexander Field,SLT
George F. L. Charles Airport,SLU
Shimla Airport,SLV
Plan De Guadalupe International Airport,SLW
Salt Cay Airport,SLX
Salekhard Airport,SLY
Marechal Cunha Machado International Airport,SLZ
Santa Maria Airport,SMA
Franco Bianco Airport,SMB
Smith Field,SMD
Lake Cumberland Regional Airport,SME
Sacramento International Airport,SMF
Santa Maria Airport,SMG
Sapmanga Airport,SMH
Samos Airport,SMI
Sim Airport,SMJ
St Michael Airport,SMK
Stella Maris Airport,SML
Semporna Airport,SMM
Lemhi County Airport,SMN
Santa Monica Municipal Airport,SMO
Stockholm Airport,SMP
Sampit(Hasan) Airport,SMQ
SimÃ³n BolÃ­var International Airport,SMR
Sainte Marie Airport,SMS
Adolino Bedin Regional Airport,SMT
Sheep Mountain Airport,SMU
Samedan Airport,SMV
Smara Airport,SMW
Santa Maria Pub/Capt G Allan Hancock Field,SMX
Simenti Airport,SMY
Stoelmanseiland Airport,SMZ
John Wayne Airport-Orange County Airport,SNA
Snake Bay Airport,SNB
General Ulpiano Paez Airport,SNC
PreguiÃ§a Airport,SNE
Sub Teniente Nestor Arias Airport,SNF
CapitÃ¡n Av. Juan Cochamanidis S. Airport,SNG
Stanthorpe Airport,SNH
Greenville Sinoe Airport,SNI
San Julian Air Base,SNJ
Winston Field,SNK
Shawnee Regional Airport,SNL
San Ignacio de Moxos Airport,SNM
Shannon Airport,SNN
Sakon Nakhon Airport,SNO
St Paul Island Airport,SNP
San QuintÃ­n Military Airstrip,SNQ
Saint-Nazaire-Montoir Airport,SNR
Salinas Municipal Airport,SNS
Las Cruces Airport,SNT
Abel Santamaria Airport,SNU
Santa Elena de Uairen Airport,SNV
Thandwe Airport,SNW
Semnan Municipal Airport,SNX
Sidney Municipal-Lloyd W Carr Field,SNY
Santa Cruz Air Force Base,SNZ
SÃ³c TrÄng Airport,SOA
HÃ©vÃ­zâBalaton Airport,SOB
Adi Sumarmo Wiryokusumo Airport,SOC
Sorocaba Airport,SOD
Souanke Airport,SOE
Sofia Airport,SOF
Sogndal Airport,SOG
Solita Airport,SOH
South Molle Island Helipad,SOI
SÃ¸rkjosen Airport,SOJ
Semonkong Airport,SOK
Solomon State Field,SOL
San TomÃ© Airport,SOM
Santo Pekoa International Airport,SON
SÃ¶derhamn Airport,SOO
Moore County Airport,SOP
Dominique Edward Osok Airport,SOQ
Al Thaurah Airport,SOR
Sodankyla Airport,SOT
Southampton Airport,SOU
Seldovia Airport,SOV
Show Low Regional Airport,SOW
Alberto Lleras Camargo Airport,SOX
Stronsay Airport,SOY
Solenzara (BA 126) Air Base,SOZ
Spartanburg Downtown Memorial Airport,SPA
Charlotte Amalie Harbor Seaplane Base,SPB
La Palma Airport,SPC
Saidpur Airport,SPD
Sepulot Airport,SPE
Black Hills Airport-Clyde Ice Field,SPF
Albert Whitted Airport,SPG
Sopu Airport,SPH
Abraham Lincoln Capital Airport,SPI
Sparti Airport,SPJ
Spangdahlem Air Base,SPM
Saipan International Airport,SPN
Menongue Airport,SPP
Catalina Air-Sea Terminal Heliport,SPQ
San Pedro Airport,SPR
Sheppard Air Force Base-Wichita Falls Municipal Airport,SPS
Sipitang Airport,SPT
Split Airport,SPU
Sepik Plains Airport,SPV
Spencer Municipal Airport,SPW
Sphinx International Airport,SPX
San Pedro Airport,SPY
Springdale Municipal Airport,SPZ
Santa Ynez Airport,SQA
Santa Ana Airport,SQB
Southern Cross Airport,SQC
Shangrao Sanqingshan Airport,SQD
San Luis De Palenque Airport,SQE
Solano Airport,SQF
Sintang(Susilo) Airport,SQG
Na-San Airport,SQH
Whiteside County Airport-Joseph H Bittorf Field,SQI
Shaxian Airport,SQJ
Sidi Barrani Airport,SQK
San Carlos Airport,SQL
SÃ£o Miguel do Araguaia Airport,SQM
Emalamo Sanana Airport,SQN
Storuman Airport,SQO
Å iauliai International Airport,SQQ
Soroako Airport,SQR
Matthew Spain Airport,SQS
China Strait Airstrip,SQT
Saposoa Airport,SQU
Sequim Valley Airport,SQV
Skive Airport,SQW
SÃ£o Miguel do Oeste Airport,SQX
SÃ£o LourenÃ§o do Sul Airport,SQY
RAF Scampton,SQZ
Santa Rosa Airport,SRA
Santa Rosa De Yacuma Airport,SRB
San RamÃ³n Airport,SRD
AlcantarÃ­ Airport,SRE
Hamilton Field,SRF
Achmad Yani Airport,SRG
Sarh Airport,SRH
CapitÃ¡n Av. German Quiroga G. Airport,SRJ
Siorapaluk Heliport,SRK
Palo Verde Airport,SRL
Sandringham Airport,SRM
Strahan Airport,SRN
Santana Ramos Airport,SRO
Stord Airport,SRP
Sarasota Bradenton International Airport,SRQ
Dunwich Airport,SRR
San Marcos Airport,SRS
Soroti Airport,SRT
Santa Cruz Sky Park,SRU
Stony River 2 Airport,SRV
Mid-Carolina Regional Airport,SRW
Gardabya Airport,SRX
Dasht-e Naz Airport,SRY
El Trompillo Airport,SRZ
Deputado Luiz Eduardo MagalhÃ£es International Airport,SSA
Christiansted Harbor Seaplane Base,SSB
Shaw Air Force Base,SSC
VÃ­ctor LafÃ³n Airport,SSD
Solapur Airport,SSE
Stinson Municipal Airport,SSF
Malabo Airport,SSG
Sharm El Sheikh International Airport,SSH
St Simons Island Airport,SSI
SandnessjÃ¸en Airport (Stokka),SSJ
Sturt Creek Airport,SSK
Santa Rosalia Airport,SSL
Seoul Air Base (K-16),SSN
SÃ£o LourenÃ§o Airport,SSO
Silver Plains Airport,SSP
La Sarre Airport,SSQ
Sara Airport,SSR
Siassi Airport,SSS
Santa Teresita Airport,SST
Greenbrier Airport,SSU
Siasi Airport,SSV
Stuart Island Airpark,SSW
Singita Safari Lodge Airport,SSX
Mbanza Congo Airport,SSY
Base AÃ©rea de Santos Airport,SSZ
Stauning Airport,STA
Santa BÃ¡rbara del Zulia Airport,STB
St Cloud Regional Airport,STC
Mayor Buenaventura Vivas International Airport,STD
Stevens Point Municipal Airport,STE
Stephens Island Seaplane Base,STF
St George Airport,STG
Strathmore Airport,STH
Cibao International Airport,STI
Rosecrans Memorial Airport,STJ
Sterling Municipal Airport,STK
St Louis Lambert International Airport,STL
Maestro Wilson Fonseca Airport,STM
London Stansted Airport,STN
St Paul Downtown Holman Field,STP
St Marys Municipal Airport,STQ
Stuttgart Airport,STR
Charles M. Schulz Sonoma County Airport,STS
Cyril E. King Airport,STT
Santa Cruz Airport,STU
Surat Airport,STV
Stavropol Shpakovskoye Airport,STW
Henry E Rohlsen Airport,STX
Nueva Hesperides International Airport,STY
Santa Terezinha Airport,STZ
Witham Field,SUA
Juanda International Airport,SUB
Stroud Municipal Airport,SUD
Door County Cherryland Airport,SUE
Lamezia Terme Airport,SUF
Surigao Airport,SUG
Sur Airport,SUH
Sukhumi Dranda Airport,SUI
Satu Mare Airport,SUJ
Sakkyryr Airport,SUK
Sui Airport,SUL
Sumter Airport,SUM
Friedman Memorial Airport,SUN
Sunriver Airport,SUO
Trunojoyo Airport,SUP
Sucua Airport,SUQ
Summer Beaver Airport,SUR
Spirit of St Louis Airport,SUS
Sumbawanga Airport,SUT
Travis Air Force Base,SUU
Nausori International Airport,SUV
Richard I Bong Airport,SUW
Sioux Gateway Airport/Brigadier General Bud Day Field,SUX
Suntar Airport,SUY
Suria Airport,SUZ
Savoonga Airport,SVA
Sambava Airport,SVB
Grant County Airport,SVC
Argyle International Airport,SVD
E. T. Joshua Airport,SVD
Susanville Municipal Airport,SVE
SavÃ© Airport,SVF
Stavanger Airport Sola,SVG
Statesville Regional Airport,SVH
Eduardo Falla Solano Airport,SVI
SvolvÃ¦r Helle Airport,SVJ
Silver Creek Airport,SVK
Savonlinna Airport,SVL
Hunter Army Air Field,SVN
Sheremetyevo International Airport,SVO
Kuito Airport,SVP
Sevilla Airport,SVQ
Savissivik Heliport,SVR
Stevens Village Airport,SVS
Savuti Airport,SVT
Savusavu Airport,SVU
San Salvador de Paul Airport,SVV
Sparrevohn LRRS Airport,SVW
Koltsovo Airport,SVX
San Antonio Del Tachira Airport,SVZ
Jieyang Chaoshan International Airport,SWA
Shaw River Airport,SWB
Stawell Airport,SWC
Seward Airport,SWD
Siwea Airport,SWE
New York Stewart International Airport,SWF
Satwag Airport,SWG
Swan Hill Airport,SWH
Southwest Bay Airport,SWJ
San Vicente Airport,SWL
Suia-Missu Airport,SWM
Sahiwal Airport,SWN
Stillwater Regional Airport,SWO
Swakopmund Airport,SWP
Sumbawa Besar Airport,SWQ
Silur Airport,SWR
Swansea Airport,SWS
Strezhevoy Airport,SWT
Suwon Airport,SWU
Shikarpur Airport,SWV
Avenger Field,SWW
Shakawe Airport,SWX
Sitiawan Airport,SWY
Sialum Airport,SXA
Strasbourg Airport,SXB
West Sale Airport,SXE
Berlin-SchÃ¶nefeld Airport,SXF
Senanga Airport,SXG
Sehulea Airport,SXH
Sirri Island Airport,SXI
Shanshan Airport,SXJ
Saumlaki/Olilit Airport,SXK
Sligo Airport,SXL
Princess Juliana International Airport,SXM
Sua Pan Airport,SXN
SÃ£o FÃ©lix do Araguaia Airport,SXO
Nunam Iqua Airport,SXP
Soldotna Airport,SXQ
Sheikh ul Alam Airport,SXR
Sahabat [Sahabat 16] Airport,SXS
Sungai Tiang Airport,SXT
Soddu Airport,SXU
Salem Airport,SXV
Sauren Airport,SXW
SÃ£o FÃ©lix do Xingu Airport,SXX
Sidney Municipal Airport,SXY
Siirt Airport,SXZ
Eareckson Air Station,SYA
Seal Bay Seaplane Base,SYB
Shiringayoc Airport,SYC
Sydney Kingsford Smith International Airport,SYD
Sadah Airport,SYE
Silva Bay Seaplane Base,SYF
Syangboche Airport,SYH
Bomar Field Shelbyville Municipal Airport,SYI
Sirjan Airport,SYJ
StykkishÃ³lmur Airport,SYK
Roberts Army Heliport,SYL
Pu'er Simao Airport,SYM
Stanton Airfield,SYN
Shonai Airport,SYO
Ruben Cantu Airport,SYP
Tobias Bolanos International Airport,SYQ
Syracuse Hancock International Airport,SYR
Saskylakh Airport,SYS
Saint-Yan Airport,SYT
Warraber Island Airport,SYU
Sylvester Airport,SYV
Sehwan Sharif Airport,SYW
Sanya Phoenix International Airport,SYX
Stornoway Airport,SYY
Shiraz Shahid Dastghaib International Airport,SYZ
Soyo Airport,SZA
Sultan Abdul Aziz Shah International Airport,SZB
Semera Airport,SZE
Samsun ÃarÅamba Airport,SZF
Salzburg Airport,SZG
Senipah Heliport,SZH
Zaysan Airport,SZI
Siguanea Airport,SZJ
Skukuza Airport,SZK
Whiteman Air Force Base,SZL
Sesriem Airstrip,SZM
Santa Cruz Island Airport,SZN
Santa Paula Airport,SZP
Saenz PeÃ±a Airport,SZQ
Stara Zagora Airport,SZR
Ryan's Creek Aerodrome,SZS
San Cristobal de las Casas Airport,SZT
Suzhou Guangfu Airport,SZV
Schwerin Parchim Airport,SZW
Shenzhen Bao'an International Airport,SZX
Olsztyn-Mazury Airport,SZY
"Szczecin-GoleniÃ³w ""SolidarnoÅÄ"" Airport",SZZ
Tarapaina Airport,TAA
Tobago-Crown Point Airport,TAB
Daniel Z. Romualdez Airport,TAC
Perry Stokes Airport,TAD
Daegu Airport,TAE
Tafaraoui Airport,TAF
Tagbilaran Airport,TAG
Tanna Airport,TAH
Ta'izz International Airport,TAI
Tadji Airport,TAJ
Takamatsu Airport,TAK
Ralph M Calhoun Memorial Airport,TAL
General Francisco Javier Mina International Airport,TAM
Tangalooma Airport,TAN
Liuting Airport,TAO
Tapachula International Airport,TAP
Tarcoola Airport,TAQ
"Taranto-Grottaglie ""Marcello Arlotta"" Airport",TAR
Tashkent International Airport,TAS
Poprad-Tatry Airport,TAT
Tauramena Airport,TAU
Tau Airport,TAV
Tacuarembo Airport,TAW
Taliabu Island Airport,TAX
Tartu Airport,TAY
DaÅoguz Airport,TAZ
Tabibuga Airport,TBA
Dong Tac Airport,TBB
Tuba City Airport,TBC
Timbunke Airport,TBE
Tabiteuea North Airport,TBF
Tabubil Airport,TBG
Tugdan Airport,TBH
New Bight Airport,TBI
Tabarka 7 Novembre Airport,TBJ
Timber Creek Airport,TBK
Tableland Homestead Airport,TBL
Tumbang Samba Airport,TBM
Waynesville-St. Robert Regional Forney field,TBN
Tabora Airport,TBO
Capitan FAP Pedro Canga Rodriguez Airport,TBP
Tarabo Airport,TBQ
Statesboro Bulloch County Airport,TBR
Tbilisi International Airport,TBS
Tabatinga Airport,TBT
Fua'amotu International Airport,TBU
Tabal Airstrip,TBV
Donskoye Airport,TBW
Tshabong Airport,TBY
Tabriz International Airport,TBZ
Tennant Creek Airport,TCA
Treasure Cay Airport,TCB
Tucumcari Municipal Airport,TCC
TarapacÃ¡ Airport,TCD
Tulcea Airport,TCE
Tacheng Airport,TCG
Tchibanga Airport,TCH
Torembi Airport,TCJ
Tinboli Airport,TCK
Tuscaloosa Regional Airport,TCL
McChord Air Force Base,TCM
Tehuacan Airport,TCN
La Florida Airport,TCO
Taba International Airport,TCP
Coronel FAP Carlos Ciriani Santa Rosa International Airport,TCQ
Tuticorin Airport,TCR
Truth Or Consequences Municipal Airport,TCS
Takotna Airport,TCT
Thaba Nchu Tar Airport,TCU
Tocumwal Airport,TCW
Tabas Airport,TCX
Terrace Bay Airport,TCY
Tengchong Tuofeng Airport,TCZ
Trinidad Airport,TDA
Tetebedi Airport,TDB
Teniente Av. Jorge Henrich Arauz Airport,TDD
Tandag Airport,TDG
Tadjoura Airport,TDJ
Taldykorgan Airport,TDK
HÃ©roes De Malvinas Airport,TDL
Theda Station Airport,TDN
Ed Carlson Memorial Field South Lewis County Airport,TDO
Trompeteros Airport,TDP
Theodore Airport,TDR
Sasereme Airport,TDS
Tanda Tula Airport,TDT
Samangoky Airport,TDV
Tradewind Airport,TDW
Trat Airport,TDX
Toledo Executive Airport,TDZ
Tela Airport,TEA
Teterboro Airport,TEB
TelÃªmaco Borba Airport,TEC
Thisted Airport,TED
Cheikh Larbi TÃ©bessi Airport,TEE
Telfer Airport,TEF
Tenkodogo Airport,TEG
Tezu Airport,TEI
Tatitlek Airport,TEK
Telupid Airport,TEL
Temora Airport,TEM
Tongren Fenghuang Airport,TEN
Terapo Airport,TEO
Tep Tep Airport,TEP
TekirdaÄ Ãorlu Airport,TEQ
Lajes Airport,TER
Tessenei Airport,TES
Chingozi Airport,TET
Manapouri Airport,TEU
Teruel Airport,TEV
Telluride Regional Airport,TEX
Ãingeyri Airport,TEY
Tezpur Airport,TEZ
Tifalmin Airport,TFB
TefÃ© Airport,TFF
Tufi Airport,TFI
Juscelino Kubitscheck Airport,TFL
Telefomin Airport,TFM
Tenerife Norte Airport,TFN
Tenerife South Airport,TFS
Taftan Airport,TFT
Tarfaya Airport,TFY
Muhammad Taufiq Kiemas Airport,TFY
Tengah Air Base,TGA
Tanjung Manis Airport,TGC
Podgorica Airport,TGD
Sharpe Field,TGE
Sultan Mahmud Airport,TGG
Tongoa Airport,TGH
Tingo Maria Airport,TGI
Tiga Airport,TGJ
Taganrog Yuzhny Airport,TGK
Tagula Airport,TGL
Transilvania TÃ¢rgu MureÅ International Airport,TGM
Latrobe Valley Airport,TGN
Tongliao Airport,TGO
Podkamennaya Tunguska Airport,TGP
TangarÃ¡ da Serra Airport,TGQ
Touggourt Sidi Madhi Airport,TGR
ChokwÃ© Airport,TGS
Tanga Airport,TGT
ToncontÃ­n International Airport,TGU
Bukhovtsi Airfield,TGV
Angel Albino Corzo International Airport,TGZ
Tullahoma Regional Arpt/Wm Northern Field,THA
Thaba-Tseka Airport,THB
Tchien Airport,THC
Tho Xuan Airport,THD
Senador PetrÃ´nio Portela Airport,THE
Berlin Tempelhof International Airport,THF
Thangool Airport,THG
Taharoa Aerodrome,THH
Tichitt Airport,THI
Thakhek Airport,THK
Tachileik Airport,THL
Thompson Falls Airport,THM
TrollhÃ¤ttan-VÃ¤nersborg Airport,THN
Thorshofn Airport,THO
Hot Springs County Airport,THP
Tianshui Maijishan Airport,THQ
Mehrabad International Airport,THR
Sukhothai Airport,THS
Tamchakett Airport,THT
Thule Air Base,THU
York Airport,THV
Trincomalee Harbor Waterdrome,THW
Turukhansk Airport,THX
Thohoyandou Airport,THY
Tahoua Airport,THZ
Tirana International Airport Mother Teresa,TIA
TibÃº Airport,TIB
Tinak Airport,TIC
Bou Chekif Airport,TID
Tippi Airport,TIE
Taâif Regional Airport,TIF
Tingwon Airport,TIG
Tikehau Airport,TIH
Tarin Kowt Airport,TII
General Abelardo L. RodrÃ­guez International Airport,TIJ
Tinker Air Force Base,TIK
Cheadle Airport,TIL
Moses Kilangin Airport,TIM
Tindouf Airport,TIN
Tilin Airport,TIO
Tripoli International Airport,TIP
Tinian International Airport,TIQ
Tirupati Airport,TIR
Timaru Airport,TIU
Tivat Airport,TIV
Tacoma Narrows Airport,TIW
Space Coast Regional Airport,TIX
Tidjikja Airport,TIY
Tari Airport,TIZ
Capitan Oriel Lea Plaza Airport,TJA
Sei Bati Airport,TJB
Ticantiki Airport,TJC
Warukin Airport,TJG
Konotori Tajima Airport,TJH
Trujillo Airport,TJI
Tokat Airport,TJK
PlÃ­nio Alarcom Airport,TJL
Roshchino International Airport,TJM
Takume Airport,TJN
H.AS. Hanandjoeddin International Airport,TJQ
Tanjung Harapan Airport,TJS
Kulob Airport,TJU
Tanjore Air Force Base,TJV
Talkeetna Airport,TKA
Tekadu Airport,TKB
Tiko Airport,TKC
Takoradi Airport,TKD
Tenakee Seaplane Base,TKE
Truckee Tahoe Airport,TKF
Radin Inten II (Branti) Airport,TKG
Takhli Airport,TKH
Tokeen Seaplane Base,TKI
Tok Junction Airport,TKJ
Chuuk International Airport,TKK
Taku Lodge Seaplane Base,TKL
El PetÃ©n Airport,TKM
Tokunoshima Airport,TKN
Tlokoeng Airport,TKO
Takapoto Airport,TKP
Kigoma Airport,TKQ
Thakurgaon Airport,TKR
Tokushima Airport/JMSDF Air Base,TKS
Tak Airport,TKT
Turku Airport,TKU
Tatakoto Airport,TKV
Tekin Airport,TKW
Takaroa Airport,TKX
Turkey Creek Airport,TKY
Tokoroa Airfield,TKZ
Teller Airport,TLA
Tarbela Dam Airport,TLB
Licenciado Adolfo Lopez Mateos International Airport,TLC
Limpopo Valley Airport,TLD
Toliara Airport,TLE
Telida Airport,TLF
Tulaghi Heliport,TLG
Tallahassee Regional Airport,TLH
Sultan Bantilan Airport,TLI
Tatalina LRRS Airport,TLJ
Talakan Airport,TLK
Lennart Meri Tallinn Airport,TLL
Zenata â Messali El Hadj Airport,TLM
Toulon-HyÃ¨res Airport,TLN
Tol Airport,TLO
Tumolbil Airport,TLP
Turpan Jiaohe Airport,TLQ
Mefford Field,TLR
Toulouse-Blagnac Airport,TLS
Tuluksak Airport,TLT
Golfo de Morrosquillo Airport,TLU
Ben Gurion International Airport,TLV
Talasea Airport,TLW
Panguilemo Airport,TLX
Plastun Airport,TLY
CatalÃ£o Airport,TLZ
Henry Tift Myers Airport,TMA
Miami Executive Airport,TMB
Tambolaka Airport,TMC
Timbedra Airport,TMD
Gustavo Vargas Airport,TME
Thimarafushi Airport,TMF
Tomanggong Airport,TMG
Tanah Merah Airport,TMH
Tumling Tar Airport,TMI
Termez Airport,TMJ
Tamale Airport,TML
Toamasina Airport,TMM
Tamana Island Airport,TMN
Tumeremo Airport,TMO
Tampere-Pirkkala Airport,TMP
Tambao Airport,TMQ
Aguenar â Hadj Bey Akhamok Airport,TMR
SÃ£o TomÃ© International Airport,TMS
Trombetas Airport,TMT
Tambor Airport,TMU
Tamworth Airport,TMW
Timimoun Airport,TMX
Tiom Airport,TMY
Thames Aerodrome,TMZ
Yaoqiang Airport,TNA
Tanah Grogot Airport,TNB
Tin City Long Range Radar Station Airport,TNC
Alberto Delgado Airport,TND
New Tanegashima Airport,TNE
Toussus-le-Noble Airport,TNF
Ibn Batouta Airport,TNG
Tonghua Sanyuanpu Airport,TNH
Satna Airport,TNI
Raja Haji Fisabilillah International Airport,TNJ
Tununak Airport,TNK
Teniente Rodolfo Marsh Martin Base,TNM
Tainan Airport,TNN
Tamarindo Airport,TNO
Twentynine Palms Airport,TNP
Washington Island Airstrip,TNQ
Ivato Airport,TNR
Tungsten (Cantung) Airport,TNS
Dade Collier Training and Transition Airport,TNT
Newton Municipal Airport,TNU
Tabuaeran Island Airport,TNV
Jumandy Airport,TNW
Stung Treng Airport,TNX
Tosontsengel Airport,TNZ
Zamperini Field,TOA
Gamal Abdel Nasser Airport,TOB
Toccoa Airport - R.G. Letourneau Field,TOC
Pulau Tioman Airport,TOD
Tozeur Nefta International Airport,TOE
Bogashevo Airport,TOF
Togiak Airport,TOG
Torres Airstrip,TOH
Troy Municipal Airport at N Kenneth Campbell Field,TOI
TorrejÃ³n Airport,TOJ
Torokina Airport,TOK
Toledo Express Airport,TOL
Timbuktu Airport,TOM
Tonu Airport,TON
San Vito De Java Airport,TOO
Philip Billard Municipal Airport,TOP
Barriles Airport,TOQ
Torrington Municipal Airport,TOR
TromsÃ¸ Airport,TOS
Totness Airport,TOT
Touho Airport,TOU
Tortola West End Seaplane Base,TOV
Toledo Airport,TOW
Tobolsk Airport,TOX
Toyama Airport,TOY
Mahana Airport,TOZ
Tampa International Airport,TPA
Tarapoa Airport,TPC
Taiwan Taoyuan International Airport,TPE
Peter O Knight Airport,TPF
Taiping (Tekah) Airport,TPG
Tonopah Airport,TPH
Tapini Airport,TPI
Taplejung Airport,TPJ
Teuku Cut Ali Airport,TPK
Draughon Miller Central Texas Regional Airport,TPL
Tiputini Airport,TPN
Cadete FAP Guillermo Del Castillo Paredes Airport,TPP
Amado Nervo National Airport,TPQ
Tom Price Airport,TPR
Vincenzo Florio Airport Trapani-Birgi,TPS
Tapeta Airport,TPT
Tikapur Airport,TPU
Tupai Airport,TPX
Tasiusaq (Qaasuitsup) Heliport,TQA
Al Taqaddum Air Base,TQD
Tiniteqilaaq Heliport,TQI
Tarko-Sale Airport,TQL
Talolqan Airport,TQN
Trepell Airport,TQP
Maranggo Airport,TQQ
San Domino Island Heliport,TQR
Tres Esquinas Air Base,TQS
Ottawa / Rockcliffe Seaplane Base,TR7
Tarama Airport,TRA
Gonzalo MejÃ­a Airport,TRB
Francisco Sarabia International Airport,TRC
Trondheim Airport VÃ¦rnes,TRD
Tiree Airport,TRE
"Sandefjord Airport, Torp",TRF
Tauranga Airport,TRG
Trona Airport,TRH
Tri-Cities Regional TN/VA Airport,TRI
Tarakbits Airport,TRJ
Juwata Airport,TRK
Terrell Municipal Airport,TRL
Jacqueline Cochran Regional Airport,TRM
Turin Airport,TRN
Taree Airport,TRO
TarauacÃ¡ Airport,TRQ
China Bay Airport,TRR
TriesteâFriuli Venezia Giulia Airport,TRS
Capitan FAP Carlos Martinez De Pinillos International Airport,TRU
Trivandrum International Airport,TRV
Bonriki International Airport,TRW
Tororo Airport,TRY
Tiruchirapally Civil Airport Airport,TRZ
Taipei Songshan Airport,TSA
Tsumeb Airport,TSB
Taisha Airport,TSC
Tshipise Airport,TSD
Astana International Airport,TSE
Treviso-Sant'Angelo Airport,TSF
Tanacross Airport,TSG
Tshikapa Airport,TSH
Tsile Tsile Airport,TSI
Tsushima Airport,TSJ
Taskul Airport,TSK
Tamuin Airport,TSL
Taos Regional Airport,TSM
Tianjin Binhai International Airport,TSN
Tehachapi Municipal Airport,TSP
Torres Airport,TSQ
TimiÅoara Traian Vuia Airport,TSR
East 34th Street Heliport,TSS
Trang Airport,TST
Tabiteuea South Airport,TSU
Townsville Airport,TSV
Tsewi Airport,TSW
Tanjung Santan Airport,TSX
Cibeureum Airport,TSY
Tselserleg Airport,TSZ
Tan Tan Airport,TTA
TortolÃ¬ Airport,TTB
Las Breas Airport,TTC
Portland Troutdale Airport,TTD
Sultan Babullah Airport,TTE
General Enrique Mosconi Airport,TTG
Thumrait Air Base,TTH
Tetiaroa Airport,TTI
Tottori Sand Dunes Conan Airport,TTJ
Turtle Island Seaplane Base,TTL
Trenton Mercer Airport,TTN
Britton Municipal Airport,TTO
Aerotortuguero Airport,TTQ
Pongtiku Airport,TTR
Tsaratanana Airport,TTS
Taitung Airport,TTT
Saniat R'mel Airport,TTU
Tissa Tank Waterdrome,TTW
Truscott-Mungalalu Airport,TTX
Teniente Coronel Luis a Mantilla Airport,TUA
Tubuai Airport,TUB
